Username;Game;In-game-time;Date
BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 21m 51s 000ms (in-game time) (- place);21m 51s 000ms ();2021-03-31
BalleGaming;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 24m 47s 450ms (in-game time) (- place);24m 47s 450ms ();2021-03-21
baragona;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 52s 200ms (in-game time) (267th place);17m 52s 200ms ();2021-01-31
baragona;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 40s 900ms (in-game time) (- place);19m 40s 900ms ();2021-01-25
baragona;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 22m 16s 200ms (in-game time) (- place);22m 16s 200ms ();2021-01-06
baragona;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 25m 12s (in-game time) (- place);25m 12s ();2020-10-17
batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 42s 300ms (in-game time) (251st place);17m 42s 300ms ();2021-04-27
batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 53s 750ms (in-game time) (- place);19m 53s 750ms ();2021-02-23
batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 07s 800ms (in-game time) (- place);22m 07s 800ms ();2021-02-20
batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 19s 700ms (in-game time) (- place);22m 19s 700ms ();2021-01-17
batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 17s 750ms (in-game time) (- place);27m 17s 750ms ();2021-01-15
batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 28m 11s 550ms (in-game time) (- place);28m 11s 550ms ();2020-12-29
batatowisk08;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 44m 24s 100ms (in-game time) (- place);44m 24s 100ms ();2020-12-24
