Player,Real time,In-game time,Difficulty,F3,Mods,Date,userlink
Turtlz,21m 23s 850ms,21m 08s 650ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/LogyHD
LogyHD,21m 13s 100ms,21m 09s 200ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/maiaxo
maiaxo,21m 36s 340ms,21m 10s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/koooosa
koooosa,22m 54s 330ms,21m 10s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/sumtingwng17
sumtingwng17,21m 23s 310ms,21m 11s 750ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/SeleniumEclipse
SeleniumEclipse,21m 24s 350ms,21m 11s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/HydroMace
HydroMace,23m 22s 930ms,21m 11s 900ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/bendy_
bendy_,22m 08s,21m 12s,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/eOliver
eOliver,21m 37s 340ms,21m 12s 900ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Dylanychus
Dylanychus,22m 54s 200ms,21m 13s 350ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Killer-Spliff
Killer-Spliff,21m 18s 910ms,21m 14s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/UncleMeekul
UncleMeekul,21m 19s 700ms,21m 14s 650ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/bodiDogg
bodiDogg,21m 40s,21m 17s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Arhimond1998
Arhimond1998,21m 24s 310ms,21m 17s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/c10sens
c10sens,22m 07s 680ms,21m 17s 350ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/treeno
treeno,22m 45s,21m 17s 700ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/poodybooty
poodybooty,22m 00s 000ms,21m 19s 000ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Copy
Copy,21m 27s 210ms,21m 19s 750ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Oscar31
Oscar31,22m 54s 370ms,21m 20s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/DanDannyBoy
DanDannyBoy,21m 48s 760ms,21m 20s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/awedya
awedya,21m 52s 140ms,21m 21s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Bepeze
Bepeze,23m 01s 000ms,21m 21s 000ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/skara
skara,21m 37s 260ms,21m 21s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TheGoldenBudgie
TheGoldenBudgie,30m 00s 630ms,21m 21s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Stelllaa
Stelllaa,21m 41s 410ms,21m 22s 200ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Kokos
Kokos,22m 02s 410ms,21m 25s 650ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/_Ileven
_Ileven,24m 42s 010ms,21m 28s 010ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Shogurt
Shogurt,21m 59s 540ms,21m 28s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/cngx
cngx,21m 38s 260ms,21m 29s 100ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Psemcovici
Psemcovici,21m 50s 670ms,21m 29s 700ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/neoprene
neoprene,21m 40s 207ms,21m 29s 950ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/mollyyxy
